alias,package_name,contract_type,granted_method,loan_amount_limit,deposit_duration,interest_rate,repayment_duration,loan_coefficient,credit_score,minimum_deposit_amount,maximum_deposit_amount,minimum_loan_amount,guarantee,receiving_channel,account_type
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,1,23,12,50,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,1,23,12,50,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,1,23,12,50,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,1,23,12,50,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,2,23,12,150,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,2,23,12,150,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,2,23,12,120,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,2,23,12,150,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,2,23,12,150,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,2,23,12,120,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,12,300,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,12,300,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,12,200,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,2,23,24,55,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,2,23,24,55,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,2,23,24,45,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,2,23,24,55,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,2,23,24,55,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,2,23,24,45,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,24,60,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,24,60,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,24,50,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,2,23,36,30,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
