id,nickname,package_name,contract_type,granted_method,loan_amount_limit,deposit_duration,interest_rate,repayment_duration,loan_coefficient,credit_score,minimum_deposit_amount,maximum_deposit_amount,minimum_loan_amount,guarantee,receiving_channel
1,بهان(بدون ضامن),فرابانک,مرابحه,واریز به حساب,1000000000,3,23,60,1000,A,nan,nan,100000000,0,غیر حضوری
2,بهان(بدون ضامن),فرابانک,مرابحه,واریز به حساب,1000000000,3,23,60,1000,B,nan,nan,100000000,0,غیر حضوری
3,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,1,23,12,50,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
4,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,2,23,12,150,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
5,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,12,300,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
6,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,2,23,24,55,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
7,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,24,60,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
8,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,2,23,36,30,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
9,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,36,35,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
10,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,18,12,80,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
11,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,18,12,100,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
12,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,23,12,200,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
